Date,Open,High,Low,Close,Adj Close,Volume
2016-01-07,118400.000000,120500.000000,116600.000000,117300.000000,116930.398438,342194
2016-01-08,115300.000000,115900.000000,113700.000000,115200.000000,114837.007813,400046
2016-01-11,114800.000000,120400.000000,114100.000000,114700.000000,114338.593750,547708
2016-01-12,116000.000000,118800.000000,115500.000000,116400.000000,116033.234375,380917
2016-01-13,117600.000000,120500.000000,117500.000000,119800.000000,119422.515625,565479
2016-01-14,118600.000000,119400.000000,117700.000000,118900.000000,118525.351563,285578
2016-01-15,120000.000000,120200.000000,118000.000000,118700.000000,118325.984375,257682
2016-01-18,117200.000000,118000.000000,115200.000000,116200.000000,115833.859375,413388
2016-01-19,115900.000000,116000.000000,111300.000000,114100.000000,113740.476563,565343
2016-01-20,114300.000000,114300.000000,111600.000000,112100.000000,111746.773438,291592
2016-01-21,111600.000000,112000.000000,110500.000000,111000.000000,110650.250000,327327
2016-01-22,111100.000000,113800.000000,111000.000000,112800.000000,112444.570313,243916
2016-01-25,113000.000000,114100.000000,112100.000000,113100.000000,112743.625000,204406
2016-01-26,113000.000000,113500.000000,111700.000000,112400.000000,112045.828125,153600
2016-01-27,113000.000000,113400.000000,108600.000000,109200.000000,108855.921875,535449
2016-01-28,109700.000000,109900.000000,107700.000000,109500.000000,109154.968750,246640
2016-01-29,110000.000000,110600.000000,108700.000000,109300.000000,108955.601563,246942
2016-02-01,110100.000000,110800.000000,109100.000000,109800.000000,109454.023438,192405
2016-02-02,110000.000000,110400.000000,108700.000000,108700.000000,108357.492188,227072
2016-02-03,107900.000000,109700.000000,107900.000000,109200.000000,108855.921875,220630
2016-02-04,109200.000000,109900.000000,108700.000000,109300.000000,108955.601563,145694
2016-02-05,108200.000000,112100.000000,107300.000000,108900.000000,108556.867188,372885
2016-02-11,104500.000000,104900.000000,100700.000000,100700.000000,100382.703125,736337
2016-02-12,99000.000000,100400.000000,92700.000000,92800.000000,92507.593750,986206
2016-02-15,93100.000000,95000.000000,90600.000000,92300.000000,92009.164063,711070
2016-02-16,93600.000000,95400.000000,92800.000000,94300.000000,94002.867188,384215
2016-02-17,93600.000000,95100.000000,92100.000000,92100.000000,91809.804688,382889
2016-02-18,94300.000000,94600.000000,92300.000000,92400.000000,92108.851563,386095
2016-02-19,91500.000000,93400.000000,91500.000000,92600.000000,92308.218750,300078
2016-02-22,93000.000000,93400.000000,91500.000000,92400.000000,92108.851563,285597
2016-02-23,93000.000000,97500.000000,92900.000000,96400.000000,96096.250000,725979
2016-02-24,96000.000000,96100.000000,94200.000000,95000.000000,94700.664063,350932
2016-02-25,95900.000000,96800.000000,93400.000000,94500.000000,94202.242188,295384
2016-02-26,94600.000000,95300.000000,94000.000000,94100.000000,93803.500000,177571
2016-02-29,95100.000000,95500.000000,94000.000000,94900.000000,94600.976563,213161
2016-03-02,95800.000000,97600.000000,95100.000000,97400.000000,97093.101563,416215
2016-03-03,97400.000000,101900.000000,96300.000000,101500.000000,101180.179688,633883
2016-03-04,102400.000000,104600.000000,101300.000000,103800.000000,103472.929688,562840
2016-03-07,104100.000000,107000.000000,104100.000000,105900.000000,105566.320313,564062
2016-03-08,106600.000000,107200.000000,104500.000000,106200.000000,105865.375000,341742
2016-03-09,106000.000000,108500.000000,105100.000000,107800.000000,107460.328125,339001
2016-03-10,107500.000000,111900.000000,107400.000000,110100.000000,109753.078125,620453
2016-03-11,110000.000000,111900.000000,108800.000000,111200.000000,110849.617188,380648
2016-03-14,112000.000000,113300.000000,111700.000000,112600.000000,112245.203125,343606
2016-03-15,112600.000000,113000.000000,110400.000000,111400.000000,111048.984375,312098
2016-03-16,111400.000000,112500.000000,108700.000000,109600.000000,109254.656250,389061
2016-03-17,111300.000000,112500.000000,110800.000000,112300.000000,111946.148438,284988
2016-03-18,113100.000000,113400.000000,111500.000000,112200.000000,111846.460938,198312
2016-03-21,112200.000000,112200.000000,107700.000000,109700.000000,109354.335938,380718
2016-03-22,108300.000000,109600.000000,106500.000000,109500.000000,109154.968750,384549
2016-03-23,108500.000000,110000.000000,106600.000000,106600.000000,106264.109375,340552
2016-03-24,106600.000000,107600.000000,106300.000000,107000.000000,106662.843750,140530
2016-03-25,106500.000000,107000.000000,102000.000000,102700.000000,102376.398438,455121
2016-03-28,101700.000000,102800.000000,100300.000000,100800.000000,100482.382813,383688
2016-03-29,100800.000000,101900.000000,99900.000000,100400.000000,100083.648438,316286
2016-03-30,100400.000000,101800.000000,99900.000000,100100.000000,99784.593750,350996
2016-03-31,100400.000000,100500.000000,98500.000000,99200.000000,98887.429688,561169
2016-04-01,99600.000000,103500.000000,99500.000000,101800.000000,101479.234375,366275
2016-04-04,99300.000000,100400.000000,98000.000000,99300.000000,98987.109375,478190
2016-04-05,99300.000000,99600.000000,96500.000000,96500.000000,96195.937500,498991
2016-04-06,96800.000000,97500.000000,96000.000000,96800.000000,96494.992188,321259
2016-04-07,97000.000000,98700.000000,97000.000000,98400.000000,98089.945313,224112
2016-04-08,97500.000000,98800.000000,96800.000000,98800.000000,98488.687500,209609
2016-04-11,99500.000000,99800.000000,97600.000000,97800.000000,97491.843750,200950
2016-04-12,99100.000000,101900.000000,99100.000000,100400.000000,100083.648438,462246
2016-04-14,102800.000000,102800.000000,100300.000000,100300.000000,99983.960938,363868
2016-04-15,101100.000000,101900.000000,100400.000000,101200.000000,100881.125000,180592
2016-04-18,101400.000000,102500.000000,100600.000000,102200.000000,101877.976563,261253
2016-04-19,102100.000000,102600.000000,101600.000000,102500.000000,102177.031250,220187
2016-04-20,102000.000000,103800.000000,102000.000000,103100.000000,102775.140625,252591
2016-04-21,103500.000000,103700.000000,101200.000000,101500.000000,101180.179688,196377
2016-04-22,101500.000000,101500.000000,99500.000000,99600.000000,99286.164063,266347
2016-04-25,100400.000000,104300.000000,100000.000000,104300.000000,103971.351563,400201
2016-04-26,105600.000000,105700.000000,101600.000000,101600.000000,101279.859375,345534
2016-04-27,102500.000000,103000.000000,101300.000000,102400.000000,102077.343750,167047
2016-04-28,103500.000000,103500.000000,100400.000000,100500.000000,100183.335938,245294
